@RELATION BombType

@ATTRIBUTE Type {C4, Nuke, DirtyBomb, FakeBomb, HomeMadeBomb, Dynamite, ChemicalBomb}
@ATTRIBUTE Size {TINY, SMALL, MEDIUM, BIG, VERY_BIG}
@ATTRIBUTE Active {true, false}
@ATTRIBUTE Victims NUMERIC
@ATTRIBUTE CRITICAL {true, false}

@DATA
Dynamite,MEDIUM,true,640,false
ChemicalBomb,MEDIUM,true,486,false
C4,MEDIUM,true,751,false
HomeMadeBomb,VERY_BIG,true,617,false
FakeBomb,TINY,true,269,false
C4,TINY,true,161,false
C4,SMALL,true,529,false
HomeMadeBomb,VERY_BIG,true,304,false
HomeMadeBomb,VERY_BIG,true,587,false
FakeBomb,MEDIUM,true,734,false
ChemicalBomb,MEDIUM,true,909,true
Dynamite,SMALL,true,256,false
HomeMadeBomb,BIG,true,927,false
ChemicalBomb,SMALL,true,0,false
FakeBomb,SMALL,false,510,false
Dynamite,TINY,true,357,false
DirtyBomb,TINY,false,530,false
FakeBomb,TINY,true,0,false
ChemicalBomb,VERY_BIG,true,121,true
Dynamite,MEDIUM,true,229,false
FakeBomb,MEDIUM,true,137,false
ChemicalBomb,VERY_BIG,true,561,true
Nuke,TINY,true,79,false
HomeMadeBomb,MEDIUM,false,0,false
Dynamite,TINY,true,137,false
DirtyBomb,VERY_BIG,true,299,true
FakeBomb,TINY,true,983,false
Dynamite,VERY_BIG,false,0,false
C4,MEDIUM,true,238,false
ChemicalBomb,BIG,true,930,true
Dynamite,TINY,false,346,false
FakeBomb,VERY_BIG,true,944,false
HomeMadeBomb,VERY_BIG,true,769,false
HomeMadeBomb,VERY_BIG,true,429,false
Nuke,MEDIUM,true,635,false
ChemicalBomb,BIG,true,438,false
Dynamite,MEDIUM,true,944,false
HomeMadeBomb,VERY_BIG,true,65,false
FakeBomb,TINY,true,0,false
C4,MEDIUM,true,0,false
C4,TINY,true,0,false
Dynamite,VERY_BIG,true,0,false
Dynamite,TINY,true,105,false
ChemicalBomb,SMALL,true,428,false
C4,SMALL,false,238,false
Dynamite,TINY,true,973,false
C4,BIG,true,994,false
Nuke,TINY,true,424,false
Nuke,VERY_BIG,true,183,true
DirtyBomb,TINY,true,568,false
Dynamite,SMALL,true,730,false
Nuke,TINY,true,604,false
Dynamite,BIG,true,838,false
HomeMadeBomb,MEDIUM,true,902,false
DirtyBomb,SMALL,true,694,false
FakeBomb,VERY_BIG,true,0,false
HomeMadeBomb,TINY,true,110,false
HomeMadeBomb,VERY_BIG,true,644,false
FakeBomb,BIG,true,20,false
HomeMadeBomb,SMALL,true,602,false
ChemicalBomb,BIG,true,240,false
ChemicalBomb,MEDIUM,true,759,false
Nuke,MEDIUM,true,331,false
ChemicalBomb,TINY,false,223,false
C4,BIG,true,896,false
Nuke,BIG,true,833,true
Dynamite,VERY_BIG,true,800,false
FakeBomb,VERY_BIG,true,761,false
FakeBomb,MEDIUM,true,435,false
ChemicalBomb,MEDIUM,true,180,false
HomeMadeBomb,SMALL,false,859,false
Dynamite,MEDIUM,true,681,false
FakeBomb,TINY,true,487,false
ChemicalBomb,BIG,true,353,false
DirtyBomb,TINY,true,7,false
FakeBomb,SMALL,false,907,false
Dynamite,TINY,false,557,false
HomeMadeBomb,TINY,true,241,false
FakeBomb,MEDIUM,false,353,false
C4,SMALL,true,954,false
Nuke,BIG,true,0,false
HomeMadeBomb,BIG,true,421,false
HomeMadeBomb,MEDIUM,false,959,false
ChemicalBomb,VERY_BIG,true,0,true
Nuke,SMALL,true,531,false
Nuke,SMALL,true,686,false
HomeMadeBomb,SMALL,true,909,false
HomeMadeBomb,BIG,true,663,false
HomeMadeBomb,SMALL,false,689,false
HomeMadeBomb,BIG,true,345,false
C4,TINY,true,895,false
