@RELATION BombType

@ATTRIBUTE Type {C4, Nuke, DirtyBomb, FakeBomb, HomeMadeBomb, Dynamite, ChemicalBomb}
@ATTRIBUTE Size {TINY, SMALL, MEDIUM, BIG, VERY_BIG}
@ATTRIBUTE Active {true, false}
@ATTRIBUTE Victims NUMERIC
@ATTRIBUTE LOW {true, false}

@DATA
DirtyBomb,TINY,true,28,false
FakeBomb,BIG,true,728,false
C4,BIG,true,39,true
Dynamite,MEDIUM,true,220,false
C4,SMALL,true,755,false
Nuke,TINY,true,0,false
C4,BIG,true,433,false
Nuke,BIG,true,151,false
DirtyBomb,MEDIUM,true,419,false
DirtyBomb,SMALL,false,874,false
Nuke,MEDIUM,true,670,false
Nuke,TINY,true,151,false
ChemicalBomb,TINY,true,143,false
ChemicalBomb,MEDIUM,true,351,false
C4,TINY,true,139,true
DirtyBomb,BIG,true,747,false
FakeBomb,SMALL,true,438,false
C4,BIG,true,941,false
DirtyBomb,TINY,true,300,false
DirtyBomb,MEDIUM,true,442,false
Dynamite,SMALL,true,536,false
DirtyBomb,TINY,true,875,false
DirtyBomb,MEDIUM,true,853,false
Nuke,VERY_BIG,true,646,false
Nuke,VERY_BIG,true,462,false
C4,VERY_BIG,true,823,false
FakeBomb,VERY_BIG,true,591,false
C4,TINY,true,449,false
FakeBomb,SMALL,true,162,false
Nuke,SMALL,true,349,false
Nuke,SMALL,true,352,false
Nuke,SMALL,true,18,false
ChemicalBomb,TINY,true,303,false
FakeBomb,SMALL,true,49,false
Dynamite,MEDIUM,true,0,false
C4,SMALL,true,191,true
ChemicalBomb,TINY,false,430,false
C4,VERY_BIG,true,0,false
Nuke,SMALL,true,218,false
Nuke,TINY,true,819,false
FakeBomb,TINY,true,831,false
Nuke,BIG,true,101,false
Dynamite,VERY_BIG,true,18,true
ChemicalBomb,MEDIUM,true,758,false
HomeMadeBomb,SMALL,true,407,false
Dynamite,VERY_BIG,false,521,false
Nuke,VERY_BIG,false,0,false
FakeBomb,MEDIUM,true,251,false
Dynamite,TINY,true,939,false
Nuke,SMALL,true,755,false
Dynamite,SMALL,true,0,false
FakeBomb,SMALL,true,431,false
C4,BIG,true,839,false
DirtyBomb,TINY,true,771,false
C4,TINY,true,960,false
HomeMadeBomb,SMALL,true,755,false
HomeMadeBomb,VERY_BIG,true,828,false
FakeBomb,VERY_BIG,true,656,false
Nuke,TINY,false,264,false
Dynamite,VERY_BIG,true,985,false
Nuke,BIG,true,906,false
FakeBomb,SMALL,true,0,false
HomeMadeBomb,TINY,true,343,false
Nuke,TINY,true,457,false
HomeMadeBomb,MEDIUM,true,753,false
ChemicalBomb,VERY_BIG,true,686,false
ChemicalBomb,TINY,true,123,false
DirtyBomb,SMALL,false,415,false
C4,BIG,true,666,false
Nuke,SMALL,true,300,false
Dynamite,BIG,true,907,false
C4,MEDIUM,true,316,false
DirtyBomb,TINY,true,610,false
DirtyBomb,VERY_BIG,true,832,false
Nuke,BIG,true,854,false
Dynamite,VERY_BIG,true,873,false
Dynamite,VERY_BIG,true,583,false
DirtyBomb,BIG,true,313,false
DirtyBomb,SMALL,true,220,false
HomeMadeBomb,MEDIUM,true,170,true
DirtyBomb,MEDIUM,true,0,false
C4,BIG,true,968,false
C4,TINY,true,818,false
HomeMadeBomb,MEDIUM,true,19,true
DirtyBomb,TINY,true,665,false
HomeMadeBomb,TINY,true,542,false
HomeMadeBomb,VERY_BIG,true,94,true
C4,VERY_BIG,true,0,false
Dynamite,BIG,true,924,false
HomeMadeBomb,MEDIUM,true,269,false
Dynamite,TINY,true,855,false
C4,TINY,false,416,false
ChemicalBomb,SMALL,true,47,false
Nuke,TINY,true,626,false
Nuke,BIG,true,244,false
C4,TINY,true,591,false
Nuke,SMALL,true,760,false
ChemicalBomb,SMALL,true,431,false
Nuke,SMALL,true,136,false
DirtyBomb,SMALL,true,789,false
ChemicalBomb,MEDIUM,true,549,false
HomeMadeBomb,SMALL,true,552,false
DirtyBomb,VERY_BIG,true,512,false
FakeBomb,TINY,true,174,false
C4,BIG,true,141,true
Nuke,VERY_BIG,true,813,false
HomeMadeBomb,MEDIUM,false,336,false
ChemicalBomb,SMALL,false,0,false
C4,MEDIUM,true,361,false
ChemicalBomb,VERY_BIG,false,380,false
Dynamite,MEDIUM,true,753,false
HomeMadeBomb,TINY,true,498,false
ChemicalBomb,VERY_BIG,true,461,false
