@RELATION BombType

@ATTRIBUTE Type {C4, Nuke, DirtyBomb, FakeBomb, HomeMadeBomb, Dynamite, ChemicalBomb}
@ATTRIBUTE Size {TINY, SMALL, MEDIUM, BIG, VERY_BIG}
@ATTRIBUTE Active {true, false}
@ATTRIBUTE Victims NUMERIC
@ATTRIBUTE MEDIUM {true, false}

@DATA
HomeMadeBomb,MEDIUM,true,250,true
FakeBomb,MEDIUM,true,0,false
DirtyBomb,MEDIUM,true,737,false
FakeBomb,BIG,true,456,false
Dynamite,SMALL,false,635,false
ChemicalBomb,SMALL,true,0,false
DirtyBomb,SMALL,true,480,false
FakeBomb,MEDIUM,true,285,false
HomeMadeBomb,SMALL,false,63,false
HomeMadeBomb,BIG,true,378,true
Nuke,SMALL,true,708,false
FakeBomb,VERY_BIG,true,447,false
C4,BIG,true,880,false
FakeBomb,BIG,false,601,false
C4,TINY,true,299,true
C4,MEDIUM,true,251,true
Nuke,BIG,true,467,false
Nuke,MEDIUM,false,92,false
ChemicalBomb,SMALL,true,784,false
DirtyBomb,VERY_BIG,true,923,false
ChemicalBomb,TINY,true,862,false
FakeBomb,VERY_BIG,true,507,false
Nuke,BIG,true,604,false
FakeBomb,VERY_BIG,true,496,false
FakeBomb,VERY_BIG,true,0,false
Nuke,VERY_BIG,true,425,false
Dynamite,SMALL,true,0,false
C4,MEDIUM,true,269,true
HomeMadeBomb,VERY_BIG,false,402,false
DirtyBomb,MEDIUM,true,110,false
FakeBomb,VERY_BIG,true,449,false
Nuke,SMALL,true,816,false
C4,MEDIUM,true,134,false
FakeBomb,MEDIUM,true,857,false
FakeBomb,MEDIUM,true,500,false
C4,MEDIUM,true,20,false
C4,VERY_BIG,true,923,false
FakeBomb,TINY,true,627,false
HomeMadeBomb,SMALL,true,583,true
HomeMadeBomb,BIG,true,861,false
FakeBomb,TINY,true,497,false
ChemicalBomb,TINY,true,920,false
ChemicalBomb,TINY,true,0,true
C4,MEDIUM,true,831,false
DirtyBomb,MEDIUM,true,750,false
ChemicalBomb,TINY,true,570,false
Nuke,SMALL,true,171,false
C4,BIG,true,630,false
DirtyBomb,TINY,true,877,false
Nuke,MEDIUM,true,712,false
Nuke,TINY,true,0,true
Nuke,TINY,true,91,false
C4,TINY,true,694,false
ChemicalBomb,TINY,true,160,false
C4,VERY_BIG,true,95,false
DirtyBomb,SMALL,true,557,false
ChemicalBomb,VERY_BIG,true,443,false
FakeBomb,BIG,true,325,false
Dynamite,VERY_BIG,true,846,false
ChemicalBomb,MEDIUM,true,0,false
Nuke,TINY,true,736,false
Dynamite,VERY_BIG,true,711,false
Dynamite,SMALL,true,804,false
Dynamite,BIG,true,155,false
FakeBomb,VERY_BIG,false,626,false
FakeBomb,TINY,true,41,false
C4,VERY_BIG,true,91,false
DirtyBomb,VERY_BIG,true,112,false
Dynamite,VERY_BIG,true,115,false
ChemicalBomb,TINY,true,0,true
ChemicalBomb,SMALL,true,698,false
Nuke,MEDIUM,true,115,false
Dynamite,TINY,false,684,false
HomeMadeBomb,MEDIUM,true,977,false
ChemicalBomb,TINY,true,0,true
Nuke,TINY,false,23,false
HomeMadeBomb,SMALL,true,370,true
HomeMadeBomb,MEDIUM,true,421,true
Dynamite,VERY_BIG,true,0,false
FakeBomb,TINY,true,769,false
C4,SMALL,true,190,false
C4,TINY,true,139,false
Nuke,TINY,true,272,false
Nuke,MEDIUM,true,667,false
ChemicalBomb,MEDIUM,true,217,false
DirtyBomb,MEDIUM,true,559,false
Nuke,SMALL,true,17,false
Nuke,SMALL,true,472,false
FakeBomb,TINY,true,747,false
Nuke,TINY,true,408,false
ChemicalBomb,MEDIUM,true,189,false
ChemicalBomb,SMALL,true,176,false
ChemicalBomb,SMALL,true,0,false
Dynamite,SMALL,false,583,false
DirtyBomb,TINY,true,757,false
Nuke,MEDIUM,true,0,false
FakeBomb,TINY,false,0,false
C4,BIG,true,809,false
C4,BIG,true,593,true
Nuke,SMALL,true,997,false
FakeBomb,TINY,true,0,false
Dynamite,VERY_BIG,true,566,true
DirtyBomb,TINY,true,991,false
DirtyBomb,MEDIUM,true,399,false
FakeBomb,VERY_BIG,false,416,false
HomeMadeBomb,MEDIUM,true,846,false
HomeMadeBomb,TINY,true,766,false
