@RELATION BombType

@ATTRIBUTE Type {C4, Nuke, DirtyBomb, FakeBomb, HomeMadeBomb, Dynamite, ChemicalBomb}
@ATTRIBUTE Size {TINY, SMALL, MEDIUM, BIG, VERY_BIG}
@ATTRIBUTE Active {true, false}
@ATTRIBUTE Victims NUMERIC
@ATTRIBUTE VERY_HIGH {true, false}

@DATA
ChemicalBomb,BIG,true,672,false
Nuke,VERY_BIG,false,647,false
ChemicalBomb,MEDIUM,true,684,true
FakeBomb,VERY_BIG,true,734,false
ChemicalBomb,MEDIUM,true,656,true
C4,BIG,true,419,false
ChemicalBomb,VERY_BIG,true,617,false
Nuke,SMALL,true,14,false
FakeBomb,MEDIUM,true,396,false
HomeMadeBomb,BIG,true,664,false
C4,TINY,true,901,false
C4,TINY,false,368,false
Dynamite,TINY,true,860,false
Nuke,MEDIUM,true,704,true
Dynamite,TINY,true,92,false
HomeMadeBomb,BIG,true,126,false
HomeMadeBomb,BIG,true,16,false
ChemicalBomb,SMALL,true,251,false
C4,MEDIUM,true,446,false
DirtyBomb,VERY_BIG,true,241,false
ChemicalBomb,MEDIUM,true,934,false
HomeMadeBomb,TINY,false,842,false
Nuke,VERY_BIG,true,496,false
Dynamite,VERY_BIG,true,306,false
ChemicalBomb,VERY_BIG,true,23,false
DirtyBomb,BIG,true,830,false
Nuke,MEDIUM,true,979,false
FakeBomb,TINY,true,123,false
HomeMadeBomb,VERY_BIG,true,398,false
Dynamite,SMALL,true,81,false
DirtyBomb,SMALL,true,168,false
FakeBomb,SMALL,true,776,false
Dynamite,MEDIUM,true,648,false
ChemicalBomb,BIG,true,702,false
HomeMadeBomb,TINY,true,100,false
DirtyBomb,VERY_BIG,true,785,false
Nuke,SMALL,true,739,true
FakeBomb,MEDIUM,true,250,false
DirtyBomb,BIG,false,556,false
ChemicalBomb,SMALL,false,469,false
ChemicalBomb,BIG,true,388,true
Nuke,MEDIUM,true,432,true
HomeMadeBomb,TINY,true,0,false
ChemicalBomb,SMALL,false,155,false
HomeMadeBomb,TINY,true,552,false
Nuke,VERY_BIG,true,240,false
ChemicalBomb,BIG,true,888,false
C4,TINY,false,550,false
C4,BIG,true,478,false
HomeMadeBomb,VERY_BIG,true,0,false
DirtyBomb,VERY_BIG,false,817,false
Dynamite,TINY,true,240,false
C4,SMALL,true,104,false
Nuke,MEDIUM,true,116,true
FakeBomb,TINY,true,421,false
C4,TINY,true,852,false
FakeBomb,SMALL,true,695,false
Nuke,VERY_BIG,true,863,false
Dynamite,BIG,true,254,false
ChemicalBomb,MEDIUM,true,343,true
C4,SMALL,true,267,false
DirtyBomb,BIG,false,559,false
DirtyBomb,VERY_BIG,false,237,false
C4,MEDIUM,true,772,false
FakeBomb,VERY_BIG,true,427,false
FakeBomb,BIG,true,920,false
Dynamite,MEDIUM,true,394,false
C4,VERY_BIG,true,135,false
C4,BIG,false,245,false
Nuke,BIG,true,760,false
FakeBomb,VERY_BIG,true,158,false
DirtyBomb,BIG,true,859,false
C4,VERY_BIG,true,586,false
ChemicalBomb,BIG,true,0,false
Dynamite,SMALL,true,796,false
Dynamite,MEDIUM,false,502,false
Dynamite,TINY,true,0,false
DirtyBomb,BIG,true,0,false
C4,MEDIUM,false,165,false
FakeBomb,SMALL,true,0,false
FakeBomb,BIG,false,621,false
HomeMadeBomb,BIG,true,747,false
Dynamite,MEDIUM,true,87,false
FakeBomb,SMALL,true,677,false
Dynamite,BIG,false,480,false
HomeMadeBomb,MEDIUM,true,605,false
ChemicalBomb,BIG,true,557,true
FakeBomb,VERY_BIG,true,161,false
Dynamite,SMALL,true,224,false
DirtyBomb,VERY_BIG,true,434,false
ChemicalBomb,VERY_BIG,true,794,false
DirtyBomb,MEDIUM,true,969,false
C4,BIG,true,208,false
DirtyBomb,VERY_BIG,true,282,false
FakeBomb,MEDIUM,true,511,false
HomeMadeBomb,SMALL,true,626,false
HomeMadeBomb,BIG,true,694,false
DirtyBomb,VERY_BIG,true,81,false
Nuke,VERY_BIG,true,675,false
Nuke,TINY,true,465,false
HomeMadeBomb,MEDIUM,true,445,false
ChemicalBomb,MEDIUM,true,745,true
DirtyBomb,TINY,true,858,true
HomeMadeBomb,VERY_BIG,true,475,false
ChemicalBomb,TINY,true,0,false
HomeMadeBomb,BIG,true,0,false
HomeMadeBomb,TINY,true,721,false
Nuke,SMALL,true,157,false
HomeMadeBomb,TINY,true,606,false
Dynamite,TINY,true,362,false
Nuke,MEDIUM,true,430,true
HomeMadeBomb,SMALL,true,681,false
C4,SMALL,true,0,false
FakeBomb,MEDIUM,true,906,false
DirtyBomb,MEDIUM,true,911,false
Nuke,SMALL,true,83,false
DirtyBomb,VERY_BIG,true,134,false
Dynamite,SMALL,true,99,false
C4,BIG,true,132,false
C4,TINY,true,53,false
Dynamite,TINY,true,94,false
ChemicalBomb,VERY_BIG,true,473,false
FakeBomb,TINY,true,378,false
C4,MEDIUM,false,651,false
DirtyBomb,VERY_BIG,true,990,false
C4,BIG,true,664,false
Dynamite,MEDIUM,true,846,false
Nuke,BIG,false,833,false
ChemicalBomb,TINY,false,664,false
Dynamite,BIG,true,824,false
