@RELATION BombType

@ATTRIBUTE Type {C4, Nuke, DirtyBomb, FakeBomb, HomeMadeBomb, Dynamite, ChemicalBomb}
@ATTRIBUTE Size {TINY, SMALL, MEDIUM, BIG, VERY_BIG}
@ATTRIBUTE Active {true, false}
@ATTRIBUTE Victims NUMERIC
@ATTRIBUTE VERY_LOW {true, false}

@DATA
ChemicalBomb,SMALL,true,109,false
DirtyBomb,MEDIUM,true,31,false
C4,TINY,true,453,false
DirtyBomb,MEDIUM,true,385,false
C4,TINY,true,566,false
ChemicalBomb,SMALL,false,390,false
ChemicalBomb,TINY,true,0,false
Dynamite,TINY,true,136,false
FakeBomb,TINY,true,7,false
Nuke,MEDIUM,true,814,false
ChemicalBomb,SMALL,true,367,false
HomeMadeBomb,VERY_BIG,false,109,false
Dynamite,VERY_BIG,true,945,false
Dynamite,BIG,false,836,false
ChemicalBomb,VERY_BIG,true,0,false
Dynamite,MEDIUM,true,130,false
FakeBomb,TINY,true,564,false
ChemicalBomb,SMALL,true,915,false
DirtyBomb,BIG,true,333,false
Nuke,SMALL,true,52,false
Nuke,SMALL,true,337,false
DirtyBomb,SMALL,false,737,false
ChemicalBomb,TINY,false,736,false
C4,SMALL,true,338,false
DirtyBomb,SMALL,true,373,false
C4,VERY_BIG,true,489,false
C4,MEDIUM,true,439,false
ChemicalBomb,MEDIUM,true,298,false
DirtyBomb,VERY_BIG,true,875,false
Dynamite,TINY,true,192,false
HomeMadeBomb,MEDIUM,true,873,false
Dynamite,TINY,true,835,false
Dynamite,MEDIUM,true,576,false
Nuke,MEDIUM,true,312,false
DirtyBomb,TINY,true,0,false
HomeMadeBomb,TINY,true,732,false
Dynamite,TINY,false,160,false
Nuke,SMALL,true,266,false
FakeBomb,VERY_BIG,true,154,false
DirtyBomb,TINY,true,582,false
DirtyBomb,SMALL,true,479,false
Nuke,SMALL,true,211,false
ChemicalBomb,VERY_BIG,true,70,false
Nuke,TINY,true,859,false
Nuke,MEDIUM,true,194,false
Nuke,BIG,true,579,false
FakeBomb,TINY,true,91,false
ChemicalBomb,BIG,true,65,false
Nuke,BIG,true,286,false
FakeBomb,TINY,true,170,false
DirtyBomb,MEDIUM,true,286,false
C4,TINY,true,871,false
FakeBomb,TINY,true,567,false
ChemicalBomb,SMALL,true,941,false
Nuke,SMALL,false,930,false
Nuke,MEDIUM,true,0,false
FakeBomb,MEDIUM,false,0,false
HomeMadeBomb,TINY,true,754,false
FakeBomb,MEDIUM,true,404,false
Dynamite,SMALL,true,950,false
C4,TINY,true,0,true
FakeBomb,VERY_BIG,true,13,false
HomeMadeBomb,TINY,true,132,false
HomeMadeBomb,SMALL,true,291,false
FakeBomb,TINY,true,0,false
HomeMadeBomb,MEDIUM,true,397,false
HomeMadeBomb,VERY_BIG,true,385,false
ChemicalBomb,VERY_BIG,false,0,false
Nuke,MEDIUM,true,285,false
FakeBomb,TINY,false,715,false
HomeMadeBomb,BIG,true,508,false
FakeBomb,MEDIUM,true,887,false
HomeMadeBomb,MEDIUM,true,608,false
Nuke,MEDIUM,true,0,false
FakeBomb,MEDIUM,true,412,false
C4,BIG,true,815,false
HomeMadeBomb,MEDIUM,true,305,false
Nuke,TINY,false,722,false
Dynamite,SMALL,true,560,false
Dynamite,TINY,true,38,false
Nuke,VERY_BIG,true,740,false
Dynamite,VERY_BIG,true,586,false
HomeMadeBomb,SMALL,true,668,false
Nuke,MEDIUM,true,592,false
